name,population,flagImage
Alabama,5024279,alabama
Alaska,733391,alaska
Arizona,7151502,arizona
Arkansas,3011524,arkansas
California,39538223,california
Colorado,5773714,colorado
Connecticut,3605944,connecticut
Delaware,989948,delaware
District of Columbia,689545,district-of-columbia
Florida,21538187,florida
Georgia,10711908,georgia
Hawaii,1455271,hawaii
Idaho,1839106,idaho
Illinois,12812508,illinois
Indiana,6785528,indiana
Iowa,3190369,iowa
Kansas,2937880,kansas
Kentucky,4505836,kentucky
Louisiana,4657757,louisiana
Maine,1362359,maine
Maryland,6177224,maryland
Massachusetts,7029917,massachusetts
Michigan,10077331,michigan
Minnesota,5706494,minnesota
Mississippi,2961279,mississippi
Missouri,6154913,missouri
Montana,1084225,montana
Nebraska,1961504,nebraska
Nevada,3104614,nevada
New Hampshire,1377529,new-hampshire
New Jersey,9288994,new-jersey
New Mexico,2117522,new-mexico
New York,20201249,new-york
North Carolina,10439388,north-carolina
North Dakota,779094,north-dakota
Ohio,11799448,ohio
Oklahoma,3959353,oklahoma
Oregon,4237256,oregon
Pennsylvania,13002700,pennsylvania
Rhode Island,1097379,rhode-island
South Carolina,5118425,south-carolina
South Dakota,886667,south-dakota
Tennessee,6910840,tennessee
Texas,29145505,texas
Utah,3271616,utah
Vermont,643077,vermont
Virginia,8631393,virginia
Washington,7705281,washington
West Virginia,1793716,west-virginia
Wisconsin,5893718,wisconsin
Wyoming,576851,wyoming
